,ticker
0,AALR3.SA
1,ABCB4.SA
2,ABEV3.SA
3,AERI3.SA
4,AESB3.SA
5,AFLT3.SA
6,AGRO3.SA
7,AGXY3.SA
8,AHEB3.SA
9,AHEB5.SA
10,AHEB6.SA
11,ALLD3.SA
12,ALPA3.SA
13,ALPA4.SA
14,ALPK3.SA
15,ALSO3.SA
16,ALUP3.SA
17,ALUP4.SA
18,AMAR3.SA
19,AMBP3.SA
20,AMER3.SA
21,ANIM3.SA
22,APER3.SA
23,APTI4.SA
24,ARML3.SA
25,ARZZ3.SA
26,ASAI3.SA
27,ATMP3.SA
28,ATOM3.SA
29,AVLL3.SA
30,AZEV3.SA
31,AZEV4.SA
32,AZUL4.SA
33,B3SA3.SA
34,BAHI3.SA
35,BALM3.SA
36,BALM4.SA
37,BAUH4.SA
38,BAZA3.SA
39,BBAS3.SA
40,BBDC3.SA
41,BBDC4.SA
42,BBRK3.SA
43,BBSE3.SA
44,BDLL3.SA
45,BDLL4.SA
46,BEEF3.SA
47,BEES3.SA
48,BEES4.SA
49,BGIP3.SA
50,BGIP4.SA
51,BIDI3.SA
52,BIDI4.SA
53,BIOM3.SA
54,BKBR3.SA
55,BLAU3.SA
56,BLUT3.SA
57,BLUT4.SA
58,BMEB3.SA
59,BMEB4.SA
60,BMGB4.SA
61,BMIN3.SA
62,BMIN4.SA
63,BMKS3.SA
64,BMOB3.SA
65,BNBR3.SA
66,BOAS3.SA
67,BOBR4.SA
68,BPAC3.SA
69,BPAC5.SA
70,BPAN4.SA
71,BPAR3.SA
72,BRAP3.SA
73,BRAP4.SA
74,BRDT3.SA
75,BRFS3.SA
76,BRGE11.SA
77,BRGE12.SA
78,BRGE3.SA
79,BRGE5.SA
80,BRGE6.SA
81,BRGE7.SA
82,BRGE8.SA
83,BRIT3.SA
84,BRIV3.SA
85,BRIV4.SA
86,BRKM3.SA
87,BRKM5.SA
88,BRKM6.SA
89,BRML3.SA
90,BRPR3.SA
91,BRSR3.SA
92,BRSR5.SA
93,BRSR6.SA
94,BSEV3.SA
95,BSLI3.SA
96,BSLI4.SA
97,BTOW3.SA
98,BTTL3.SA
99,CALI3.SA
100,CALI4.SA
101,CAMB3.SA
102,CAML3.SA
103,CARD3.SA
104,CASH3.SA
105,CASN3.SA
106,CASN4.SA
107,CBAV3.SA
108,CBEE3.SA
109,CCPR3.SA
110,CCRO3.SA
111,CEAB3.SA
112,CEBR3.SA
113,CEBR5.SA
114,CEBR6.SA
115,CEDO3.SA
116,CEDO4.SA
117,CEEB3.SA
118,CEEB5.SA
119,CEED3.SA
120,CEED4.SA
121,CEGR3.SA
122,CEPE3.SA
123,CEPE5.SA
124,CEPE6.SA
